,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,actor1_con,actor2_con,actor3_con,director_con,genre__con
10668,Pati Parmeshwar,1990.0,131.11078355314197,"Drama, Family",3.2,11.0,Madan Joshi,Dimple Kapadia,Shekhar Suman,Sudha Chandran,5.1,5.2,4.8,4.8,6.2
10669,Pati Parmeshwar,1958.0,131.11078355314197,"Drama, Family",6.2,2029.1238422863191,Manno Desai,Ajit,Sabita Chatterjee,Manher Desai,5.9,6.2,6.1,6.2,6.2
10670,Pati Patni,1966.0,159.0,"Comedy, Drama, Family",6.2,29.0,S.A. Akbar,Sanjeev Kumar,Nanda,Mumtaz,6.4,6.5,6.4,6.2,6.1
10673,Pati Patni Aur Tawaif,1990.0,131.11078355314197,"Drama, Family",4.3,42.0,Rajkumar Kohli,Salma Agha,Harbans Darshan M. Arora,Birbal,4.6,5.1,5.5,4.9,6.2
10674,Pati Patni Aur Woh,1978.0,141.0,"Comedy, Romance",7.1,447.0,B.R. Chopra,Sanjeev Kumar,Vidya Sinha,Ranjeeta Kaur,6.4,6.4,6.3,6.9,5.8
10675,Pati Patni Aur Woh,2019.0,126.0,"Comedy, Romance",5.7,6166.0,Mudassar Aziz,Kartik Aaryan,Bhumi Pednekar,Ananya Panday,6.4,6.9,6.0,5.2,5.8
10677,Patiala Dreamz,2014.0,120.0,Drama,4.0,8.0,Abhishek Saxena,Sarvar Ahuja,Usha Bachani,Amita Nangia,4.0,5.1,5.7,5.4,6.3
10678,Patiala House,2011.0,140.0,"Drama, Sport",5.6,8780.0,Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar,5.9,5.4,5.4,5.8,6.4
10681,Patita,1953.0,143.0,Drama,7.8,64.0,Amiya Chakrabarty,Dev Anand,Usha Kiran,Agha,6.8,6.6,6.6,6.6,6.3
10682,Patita,1980.0,125.0,Drama,5.8,24.0,I.V. Sasi,Shoma Anand,Vikram Makandar,Raj Kiran,6.1,6.2,6.1,6.4,6.3
10686,Patli Kamar Lambe Baal,2004.0,83.0,Drama,4.3,7.0,Chandni Gupta,Amit Pachori,Dimple,Pushpendra,5.5,4.3,4.3,5.5,6.3
10688,Patni,1970.0,131.11078355314197,Drama,6.2,2029.1238422863191,V.R. Naidu,Ramesh Deo,Jagdev,Imtiaz Khan,5.7,6.2,6.2,6.2,6.3
10689,Patrani,1956.0,131.11078355314197,"Drama, Romance",6.2,2029.1238422863191,Vijay Bhatt,Vyjayanthimala,Pradeep Kumar,Shashikala,6.4,6.6,6.5,6.6,5.9
10690,Pattathu Yaanai,2013.0,155.0,Action,3.8,151.0,Boopathy Pandian,Murli Sharma,Aishwarya Arjun,Yogi Babu,3.8,3.8,3.8,3.8,5.7
10691,Patth,2003.0,157.0,Drama,4.6,29.0,Shivram Yadav,Sharad S. Kapoor,Payal Rohatgi,Hyder Kazmi,5.6,4.6,4.7,4.4,6.3
10692,Patthar Aur Payal,1974.0,150.0,"Action, Drama",6.6,57.0,Harmesh Malhotra,Dharmendra,Hema Malini,Vinod Khanna,5.8,6.2,5.9,5.5,5.6
10693,Patthar Aur Payal,2000.0,131.11078355314197,Action,5.4,5.0,Hemant Birje,Dharmendra,Raza Murad,Anil Nagrath,5.8,5.8,6.1,5.8,5.7
10694,Patthar Dil,1985.0,131.11078355314197,"Drama, Romance",5.2,6.0,Surendra Mohan,Padmini Kolhapure,Danny Denzongpa,Kader Khan,4.2,5.6,5.5,5.9,5.9
10695,Patthar Ke Khwab,1969.0,131.11078355314197,"Drama, Family, Adventure",6.2,2029.1238422863191,Pal Premi,Mahipal,Parveen Choudhary,D.K. Sapru,6.3,6.2,6.1,6.2,6.2
10697,Patthar Ke Phool,1991.0,155.0,"Action, Drama, Romance",5.6,1004.0,Anant Balani,Salman Khan,Raveena Tandon,Kiran Kumar,5.3,5.1,5.4,4.8,5.3
10698,Patthar Ke Sanam,1967.0,136.0,"Action, Drama, Musical",6.6,141.0,Raja Nawathe,Waheeda Rehman,Manoj Kumar,Mumtaz,6.2,6.8,6.4,6.5,5.6
10699,Patthar Ki Lakeer,1982.0,131.11078355314197,Drama,6.2,2029.1238422863191,Dindayal Sharma,Bindu,Ashok Kumar,Suresh Oberoi,5.8,6.4,5.6,6.2,6.3
10700,Patthar Se Takkar,1980.0,131.11078355314197,"Action, Crime, Thriller",6.2,2029.1238422863191,Gulab Mehta,Master Bhagwan,Urmila Bhatt,Birbal,6.1,6.1,5.5,6.2,5.4
10703,Patton Ki Bazi,1986.0,131.11078355314197,"Action, Drama",6.2,2029.1238422863191,Ram Govind,Rajan Sippy,Kushboo,Swapna,5.7,6.0,6.2,5.8,5.6
10705,Pavitra Paapi,1970.0,152.0,Drama,8.0,49.0,Rajendra Bhatia,Balraj Sahni,Tanuja,Parikshit Sahni,6.8,6.4,6.5,6.7,6.3
10708,Pawan Putra Hanuman,1957.0,131.11078355314197,Fantasy,6.2,2029.1238422863191,Babubhai Mistry,Indira Bansal,Anita Guha,Sudesh Kumar,6.1,6.4,5.9,6.4,6.2
10709,Payaase Panchhi,1961.0,139.0,Comedy,7.0,9.0,Harsukh Jagneshwar Bhatt,Mehmood,Ameeta,Jeevan,6.4,6.2,6.2,6.2,5.9
10711,Payal,1957.0,131.11078355314197,"Drama, Family",6.1,7.0,Joseph Thaliyath Jr.,Sunil Dutt,Padmini,Ragini,6.1,6.4,6.0,6.1,6.2
10712,Payal Ki Jhankaar,1980.0,114.0,Romance,5.6,18.0,Satyen Bose,Alankar Joshi,Roobini,Surinder Kaur,5.6,5.6,5.6,6.7,5.9
10713,Payal Ki Jhankar,1968.0,132.0,"Action, Adventure, Comedy",4.4,12.0,M.V. Raman,Kishore Kumar,Jyothi Lakshmi,Rajshri,6.5,5.8,4.4,5.8,5.6
10715,Payame Haq,1939.0,131.11078355314197,"Adventure, Drama",4.6,7.0,Dhirubhai Desai,Anil Kumar,Ashiq Hussain,Ashraf Khan,5.4,5.8,5.4,6.0,5.9
10716,Payback,2010.0,115.0,"Action, Crime, Drama",5.5,65.0,Sachin P. Karande,Gulshan Grover,Munish Khan,Zakir Hussain,5.4,5.5,5.3,6.6,5.7
10717,Paying Guest,1957.0,157.0,"Comedy, Crime, Drama",7.1,225.0,Subodh Mukherji,Dev Anand,Nutan,Gajanan Jagirdar,6.8,6.5,6.7,6.6,5.7
10718,Paying Guests,2009.0,109.0,"Comedy, Drama",4.2,510.0,Paritosh Painter,Shreyas Talpade,Javed Jaffrey,Aashish Chaudhary,5.3,5.6,4.4,4.2,5.9
10719,Pazhani,2008.0,159.0,"Action, Drama",2.8,114.0,Perarasu,Bharath Srinivasan,Kajal Aggarwal,Kushboo,2.8,5.8,5.2,2.8,5.6
10721,Peda Rayudu,1995.0,165.0,"Action, Drama",7.2,543.0,Ravi Raja Pinisetty,Mohan Babu,Rajinikanth,Bhanupriya,8.2,5.4,7.2,5.9,5.6
10722,Peddlers,2012.0,116.0,"Drama, Thriller",7.0,83.0,Vasan Bala,Gulshan Devaiah,Kriti Malhotra,Siddharth Menon,6.3,7.0,7.0,7.2,6.0
10723,Pedro,1960.0,131.11078355314197,Action,6.2,2029.1238422863191,Aakkoo,Chitra,Azaad Irani,Sheila Kashmiri,6.1,6.1,6.0,6.2,5.7
10724,Pedrya (Loser),2021.0,90.0,Drama,6.2,2029.1238422863191,Harshad Nalawade,Donna Munshi,Harshad Nalawade,Atul Deshmukh,6.2,6.2,6.2,6.2,6.3
10725,Peechha Karro,1986.0,114.0,"Comedy, Thriller",6.4,150.0,Pankaj Parashar,Ravi Baswani,Birbal,Iftekhar,6.4,5.7,6.1,5.8,5.6
10726,Peekaboo,2021.0,131.11078355314197,"Drama, Mystery, Thriller",6.2,2029.1238422863191,Shamal Chacko,Raavi Kishor,Poornima Sankar,Neena Thampy,6.2,6.2,6.2,6.2,5.8
10729,Peepli [Live],2010.0,95.0,"Comedy, Drama",7.4,11954.0,Anusha Rizvi,Mahmood Farooqui,Omkar Das Manikpuri,Raghuvir Yadav,7.4,6.2,6.5,7.4,5.9
10730,Peethi Pili Ne Rang Rato,1982.0,131.11078355314197,Romance,6.2,2029.1238422863191,Rita Bhaduri,Kiran Kumar,Ramesh Mehta,Mallika Sarabhai,5.6,6.4,5.6,5.3,5.9
10732,Pehchaan,1993.0,138.0,"Action, Drama, Thriller",4.4,152.0,Deepak S. Shivdasani,Sunil Shetty,Saif Ali Khan,Shilpa Shirodkar,4.6,5.9,4.3,4.4,5.8
10733,Pehchaan: The Face of Truth,2005.0,173.0,Drama,5.7,60.0,Shrabani Deodhar,Vinod Khanna,Rati Agnihotri,Raveena Tandon,5.7,5.5,5.6,4.1,6.3
10735,Pehchan,1970.0,131.11078355314197,"Drama, Family, Musical",5.0,25.0,Sohanlal Kanwar,Manoj Kumar,Babita Kapoor,Balraj Sahni,5.9,5.6,6.6,5.6,6.4
10736,Pehla Aadmi,1950.0,131.11078355314197,"Drama, History",7.1,7.0,Bimal Roy,Smriti Biswas,Sr. Balraj Vij,Nasir Hussain,7.1,7.1,6.6,7.2,6.7
10739,Pehla Kadam,1981.0,131.11078355314197,Romance,6.2,2029.1238422863191,Kidar Nath Sharma,Dinesh Hingoo,Sapna Sarang,Partap Sharma,6.0,6.2,6.2,6.7,5.9
10741,Pehla Nasha,1993.0,131.0,"Mystery, Romance, Thriller",4.9,325.0,Ashutosh Gowariker,Deepak Tijori,Pooja Bhatt,Raveena Tandon,5.6,5.8,5.6,6.3,5.7
10742,Pehla Pehla Pyar,1994.0,131.11078355314197,"Comedy, Drama, Romance",5.1,109.0,Manmohan Singh,Rishi Kapoor,Tabu,Anupam Kher,5.9,5.6,5.6,5.1,5.8
10744,Pehla Pyar,2001.0,131.11078355314197,Romance,6.2,2029.1238422863191,Amerikan Achayan,Cochupreman,Hema,Rudrapratapan,6.2,6.2,6.2,6.2,5.9
10746,Pehle Aap,1944.0,131.11078355314197,Drama,7.0,6.0,Abdul Rashid Kardar,Shamim,Wasti,Jeevan,6.5,6.5,6.2,6.4,6.3
10748,Pehli Jhalak,1955.0,156.0,"Action, Comedy, Crime",6.4,18.0,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran,6.4,6.4,6.4,5.8,5.4
10750,Pehli Nazar Ka Pyaar,2008.0,140.0,Romance,4.4,7.0,Arshad Khan,Arshad Khan,Vikas Anand,Sweety Chhabra,4.4,4.9,4.4,4.6,5.9
10752,Pehli Raat,1959.0,131.11078355314197,Drama,6.2,2029.1238422863191,P.L. Santoshi,Nanda,Sudesh Kumar,Nimmi,6.3,6.1,6.1,6.2,6.3
10756,Pehredaar,1979.0,131.11078355314197,Action,6.2,2029.1238422863191,Batra Mohinder,Bob Christo,Danny Denzongpa,Satyendra Kapoor,5.8,5.6,5.7,6.2,5.7
10757,Penalty,2019.0,128.0,Sport,5.5,783.0,Shubham Singh,Lukram Smil,Kay Kay Menon,Shashank Arora,5.5,6.1,5.5,5.5,6.0
10758,Pending love,2018.0,131.11078355314197,Romance,6.2,2029.1238422863191,Shahid Kazmi,Tariq Imtyaz,Prem Kumar,Pari Choudhury,6.2,6.2,6.2,6.5,5.9
10760,Penthouse,2021.0,131.11078355314197,"Crime, Mystery, Thriller",6.2,2029.1238422863191,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Tisca Chopra,Bobby Deol,5.8,5.4,4.8,5.8,6.1
10761,Pepper Chicken,2020.0,131.11078355314197,Thriller,6.8,281.0,Ratan Sil Sarma,Dipannita Sharma,Boloram Das,Monuj Borkotoky,6.5,6.8,6.8,6.8,5.9
10762,Perfect Plan,2017.0,127.0,"Drama, Mystery, Thriller",6.2,6.0,Yusuf Qasmi,Yusuf Qasmi,Raza Murad,Zeeshan Khan,6.2,5.8,6.2,6.2,5.8
10763,Periyanna,1999.0,148.0,"Action, Drama, Romance",4.8,230.0,S.A. Chandrashekhar,Vijayakanth,Meena,Suriya,4.8,6.6,6.1,5.1,5.3
10764,Permission,1987.0,137.0,"Drama, Musical, Romance",8.3,1391.0,Gulzar,Rekha,Naseeruddin Shah,Anuradha Patel,5.6,6.3,6.5,7.6,6.4
10766,Perveen,1957.0,131.11078355314197,Fantasy,6.2,2029.1238422863191,Ajit,Chitra,Mehmood Vazir Khan,Mehmood,6.1,6.2,6.2,6.2,6.2
10767,Perversion,2020.0,60.0,Drama,6.2,2029.1238422863191,Sandeep Patra,Adiya,Natasha,Sneha,6.2,6.2,4.7,6.2,6.3
10768,Pestonjee,1988.0,125.0,"Comedy, Drama",7.1,206.0,Vijaya Mehta,Shabana Azmi,Cyprus Dastoor,Dady Dustoor,6.7,7.1,7.1,6.4,5.9
10769,Pet Pyaar Aur Paap,1984.0,128.0,"Drama, Family",6.3,30.0,Durai,Raj Babbar,Smita Patil,Tanuja,5.6,6.2,6.4,6.6,6.2
10770,Petrol,2005.0,131.11078355314197,Action,6.2,2029.1238422863191,Pradeep Maru,S. Gaur,Adi Irani,Kiran Kumar,6.2,6.2,5.4,6.2,5.7
10771,Phaansi,1978.0,141.0,"Action, Drama",6.6,31.0,Harmesh Malhotra,Shashi Kapoor,Sulakshana Pandit,Ranjeet,6.3,5.6,5.4,5.5,5.6
10773,Phaansi Ka Phanda,1990.0,150.0,"Crime, Drama",6.2,2029.1238422863191,Rajdutt,Datta Bhatt,Bindu,Mohan Gokhale,6.2,6.2,6.3,6.2,6.2
10774,Phaansi Ke Baad,1985.0,141.0,Drama,6.0,17.0,Harmesh Malhotra,Shatrughan Sinha,Hema Malini,Shakti Kapoor,5.4,6.2,5.5,5.5,6.3
10775,Phagun,1958.0,131.11078355314197,"Comedy, Drama, Musical",6.6,35.0,Bibhuti Mitra,Madhubala,Bharat Bhushan,Jeevan,6.8,6.1,6.2,6.3,6.2
10776,Phagun,1973.0,136.0,"Drama, Family, Romance",7.3,59.0,Rajinder Singh Bedi,Dharmendra,Waheeda Rehman,Jaya Bachchan,5.8,6.8,6.7,6.7,6.0
10777,Phamous,2018.0,115.0,"Comedy, Crime, Drama",3.8,282.0,Karan Butani,Jimmy Sheirgill,Shriya Saran,Kay Kay Menon,5.3,5.7,5.2,4.3,5.7
10778,Phandebaaz,1978.0,150.0,"Action, Comedy",6.7,35.0,Samir Ganguly,Dharmendra,Moushumi Chatterjee,Prem Chopra,5.8,6.1,6.2,6.5,5.4
10779,Phantom,2015.0,136.0,"Action, Drama, Thriller",5.9,8714.0,Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty,5.5,5.8,5.6,6.1,5.8
10781,Phas Gaye Re Obama,2010.0,108.0,"Comedy, Crime, Drama",7.5,5284.0,Subhash Kapoor,Rajat Kapoor,Neha Dhupia,Sanjay Mishra,6.9,6.0,6.2,6.4,5.7
10782,Phata Poster Nikhla Hero,2013.0,146.0,"Action, Comedy",4.8,4492.0,Rajkumar Santoshi,Shahid Kapoor,Ileana D'Cruz,Padmini Kolhapure,5.8,5.7,5.6,6.7,5.4
10783,Phati Padi Hai Yaar,2019.0,131.11078355314197,Drama,6.2,2029.1238422863191,Prem Mohan Girdhani,Ibra Khan,Sunil Pal,Kuldeep Sareen,6.2,6.2,6.2,6.2,6.3
10784,Phhir,2011.0,100.0,"Drama, Mystery, Romance",5.0,186.0,Girish Dhamija,Rajniesh Duggall,Roshni Chopra,Monica,5.1,5.0,5.8,5.0,5.2
10785,Phillauri,2017.0,138.0,"Comedy, Drama, Fantasy",6.1,3596.0,Anshai Lal,Anushka Sharma,Diljit Dosanjh,Suraj Sharma,6.7,6.1,6.1,6.1,5.7
10787,Phir Aaya Satte Pe Satta,2017.0,134.0,Thriller,7.2,24.0,R. Mittal,Rajesh Mittal,Rana Jung Bahadur,Biswajit Chatterjee,5.6,4.8,6.2,5.8,5.9
10788,Phir Aayee Barsat,1985.0,131.11078355314197,Romance,7.8,6.0,Jaiprakashk Vinayak,Asma,Harindranath Chattopadhyay,Saeed Jaffrey,7.8,7.8,6.3,7.8,5.9
10789,Phir Aayegi Woh Raat,2001.0,131.11078355314197,Horror,6.2,2029.1238422863191,Tej Saran,Ali Khan,Mac Mohan,Raza Murad,6.2,5.8,5.6,6.2,5.4
10790,Phir Aya Toofan,1973.0,131.11078355314197,Action,6.2,2029.1238422863191,Robin Bannerjee,Ajit,Rekha Chauhan,Madhu Malini,5.9,6.2,6.1,6.2,5.7
10793,Phir Bhi,1971.0,131.11078355314197,"Drama, Romance",6.2,2029.1238422863191,Shivendra Sinha,Partap Sharma,Urmila Bhatt,Meenal Mehta,6.2,6.1,6.2,6.2,5.9
10794,Phir Bhi Apna Hai,1946.0,131.11078355314197,Fantasy,6.2,2029.1238422863191,Raja Nene,Nalini Jaywant,Jagdish Sethi,Kusum Deshpande,6.1,6.2,6.7,6.5,6.2
10795,Phir Bhi Dil Hai Hindustani,2000.0,160.0,"Comedy, Drama, Musical",6.2,7103.0,Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Johnny Lever,6.6,5.7,5.6,6.3,6.2
10796,Phir bhi tumko chahungi,2017.0,131.11078355314197,"Musical, Romance",6.2,2029.1238422863191,Anugrah Agnihotri,Rahmat Ali,Sunny Pal,Rima Yadav,6.2,6.2,6.2,6.2,6.2
10798,Phir Hera Pheri,2006.0,153.0,"Comedy, Crime",7.0,19525.0,Neeraj Vora,Akshay Kumar,Sunil Shetty,Paresh Rawal,5.5,5.0,5.4,5.4,5.9
10799,Phir Kab Milogi,1974.0,132.0,Romance,6.2,44.0,Hrishikesh Mukherjee,Mala Sinha,Biswajit Chatterjee,Deven Verma,6.3,6.1,6.8,7.1,5.9
10800,Phir Kabhi,1999.0,145.0,"Drama, Family",6.2,2029.1238422863191,Balwant Dullat,Rahul Roy,Beena Banerjee,Saraf Deepak,5.6,5.3,6.2,6.2,6.2
10801,Phir Kabhi,2008.0,131.11078355314197,"Drama, Romance",6.8,74.0,V.K. Prakash,Mithun Chakraborty,Dimple Kapadia,Kaivalya Chheda,5.3,5.4,6.8,5.8,5.9
10803,Phir Milenge,2004.0,142.0,Drama,6.1,1983.0,Revathi,Salman Khan,Abhishek Bachchan,Shilpa Shetty Kundra,5.3,6.3,5.0,6.4,6.3
10804,Phir Se...,2018.0,118.0,Romance,5.4,206.0,Ajay Bhuyan,Kunal Kohli,Dalip Tahil,Jennifer Winget,5.4,5.6,5.4,5.4,5.9
10805,Phir Subha Hogi,1958.0,168.0,"Drama, Romance",7.5,81.0,Ramesh Saigal,Raj Kapoor,Mala Sinha,Mubarak,6.9,6.4,6.5,6.8,5.9
10806,Phir Tauba Tauba,2008.0,109.0,Romance,2.7,9.0,T.L.V. Prasad,Amin Gazi,Rahul Roy,Saadhika,2.7,5.1,3.8,4.5,5.9
10807,Phir Teri Kahani Yaad Aayee,1993.0,105.0,"Romance, Drama",5.8,271.0,Mahesh Bhatt,Pooja Bhatt,Rahul Roy,Pooja Bedi,5.2,5.1,6.8,5.5,6.0
10808,Phir Ussi Mod Par,2019.0,134.0,Drama,6.2,2029.1238422863191,Lekh Tandon,Deepika Amin,Siddhaarth Mahan,Parmeet Sethi,6.6,6.2,6.2,6.4,6.3
10809,Phir Wohi Awaaz,1998.0,135.0,Mystery,6.2,2029.1238422863191,Suresh Babu Malghe,Kishore Anand Bhanushali,Sudha Chandran,Bharat Kapoor,4.9,6.1,5.6,6.2,6.0
10811,Phir Wohi Dil Laya Hoon,1963.0,131.11078355314197,"Musical, Romance",6.9,71.0,Nasir Hussain,Joy Mukherjee,Asha Parekh,Rajendranath Malhotra,5.9,6.6,6.5,6.8,6.2
10812,Phir Wohi Raat,1980.0,146.0,"Crime, Horror, Mystery",6.6,87.0,Danny Denzongpa,Rajesh Khanna,Kim,Aruna Irani,6.4,6.5,5.7,6.4,6.6
10813,Phobia,2016.0,112.0,"Drama, Mystery, Thriller",6.9,2791.0,Pawan Kripalani,Radhika Apte,Amrita Bagchi,Nivedita Bhattacharya,6.0,6.9,6.9,5.6,5.8
10814,Phone Bhoot,2021.0,131.11078355314197,"Comedy, Horror",6.2,2029.1238422863191,Gurmmeet Singh,Katrina Kaif,Jackie Shroff,Ishaan Khattar,6.2,5.1,6.2,5.2,5.9
10815,Phool,1945.0,122.0,Drama,6.5,8.0,K. Asif,Prithviraj Kapoor,Suraiya,Durga Khote,6.4,6.4,6.4,6.5,6.3
10816,Phool,1993.0,131.11078355314197,Romance,4.8,103.0,Singeetam Srinivasa Rao,Kumar Gaurav,Madhuri Dixit,Sunil Dutt,5.5,5.8,6.4,6.2,5.9
10817,Phool Aur Aag,1999.0,131.11078355314197,"Drama, Action, Comedy",4.9,39.0,T.L.V. Prasad,Mithun Chakraborty,Jackie Shroff,Archana,5.3,5.1,6.6,4.5,4.8
10818,Phool Aur Angaar,1993.0,146.0,"Action, Drama",5.4,131.0,Ashok Gaekwad,Arjun,Asrani,Mohnish Bahl,5.5,5.6,5.5,5.0,5.6
10819,Phool Aur Faulad,1998.0,131.11078355314197,Romance,6.2,2029.1238422863191,Kalpataru,Asrani,Sonika Gill,Anupam Kher,5.4,5.8,5.6,5.8,5.9
10820,Phool aur Insaan,1976.0,131.11078355314197,Romance,6.2,2029.1238422863191,Kartar Singh,Abhijeet,Abhi Bhattacharya,Jugal Kishore,4.6,6.2,6.2,6.2,5.9
10821,Phool Aur Kaante,1991.0,173.0,"Action, Drama, Romance",5.8,1348.0,Kuku Kohli,Ajay Devgn,Madhoo,Arif Khan,5.3,5.4,4.4,5.2,5.3
10823,Phool Aur Kaliyan,1960.0,131.11078355314197,Drama,6.2,2029.1238422863191,Ram Narayan Gabale,Dattaram,Hemanta Mukherjee,Ramesh Talwar,6.2,6.2,6.2,6.2,6.3
10825,Phool Aur Patthar,1966.0,163.0,"Action, Drama, Romance",6.3,218.0,O.P. Ralhan,Meena Kumari,Dharmendra,Shashikala,6.7,6.2,6.5,6.9,5.3
10826,Phool Bane Angaare,1963.0,131.11078355314197,"Drama, Romance",6.0,15.0,Suraj Prakash,Mala Sinha,Raaj Kumar,Ashish Kumar,6.3,6.5,6.6,5.7,5.9
10827,Phool Bane Angaray,1991.0,131.11078355314197,"Action, Drama",4.6,127.0,K.C. Bokadia,Rekha,Rajinikanth,Prem Chopra,5.6,5.4,6.2,4.4,5.6
10828,Phool Bane Patthar,1998.0,131.11078355314197,"Action, Romance",6.2,2029.1238422863191,Ambrish Sangal,Mohnish Bahl,Indrani Banerjee,Rakesh Bedi,5.5,6.2,5.6,5.5,5.0
10829,Phool Bani Phoolan,1999.0,131.11078355314197,Action,6.2,2029.1238422863191,Kishan Shah,Beena Banerjee,Birbal,Brij Gopal,5.8,5.7,6.1,6.1,5.7
10830,Phool Khile Hain Gulshan Gulshan,1978.0,115.0,"Drama, Family",6.2,64.0,Sikandar Khanna,Rishi Kapoor,Moushumi Chatterjee,Ashok Kumar,5.9,6.1,6.1,6.1,6.2
10831,Phoolan Bai,2001.0,133.0,Action,6.2,2029.1238422863191,Israr Ahmed,Arjun,Harshas Bhanushali,Bhavana Bhatt,5.5,6.2,6.2,4.9,5.7
10832,Phoolan Hasina Ramkali,1993.0,117.0,Action,4.4,20.0,Kanti Shah,Kirti Singh,Sudha Chandran,Tahir Khan,3.8,6.1,4.4,5.3,5.7
10834,Phoolon Ki Sej,1964.0,148.0,"Drama, Romance",5.7,26.0,Inder Raj Anand,Vyjayanthimala,Ashok Kumar,Anjali Devi,6.4,6.4,6.5,5.7,5.9
10836,Phoonk,2008.0,110.0,"Drama, Horror, Mystery",3.9,1265.0,Ram Gopal Varma,Sudeep,Amruta Khanvilkar,Ahsaas Channa,6.1,5.2,4.2,5.6,5.0
10837,Phoonk 2,2010.0,110.0,"Drama, Horror, Mystery",3.2,488.0,Milind Gadagkar,Sudeep,Amruta Khanvilkar,Ahsaas Channa,6.1,5.2,4.2,3.2,5.0
10838,Phoring,2013.0,127.0,Drama,7.6,870.0,Indranil Roychowdhury,Sohini Sarkar,Akash Adhikari,Sourav Basak,7.6,7.6,7.6,7.6,6.3
10839,Photograph,2019.0,110.0,"Drama, Romance",6.9,4505.0,Ritesh Batra,Nawazuddin Siddiqui,Sanya Malhotra,Sachin Khedekar,6.4,6.6,6.3,7.4,5.9
10841,Phullu,2017.0,96.0,"Comedy, Drama",6.0,189.0,Abhishek Saxena,Sharib Hashmi,Jyoti Sethi,Nutan Surya,6.6,6.0,6.0,5.4,5.9
10842,Phulmania,2019.0,120.0,Drama,5.4,16.0,Lal Vijay Shahdeo,Komal Singh,Ravi Bhatia,Pranab Chaudhary,5.4,5.4,5.4,6.6,6.3
10843,Phulwari,1984.0,158.0,"Drama, Family",5.8,6.0,Mukul Dutt,Debashree Roy,Shashi Puri,Ashok Saraf,5.8,5.8,5.9,6.1,6.2
10846,Pick Pocket,1962.0,131.11078355314197,Action,6.2,2029.1238422863191,Rajesh Nanda,Paidi Jairaj,Nishi,Kumud Tripathi,6.2,5.9,6.2,5.0,5.7
10847,Pick Pocket,1946.0,131.11078355314197,Crime,6.2,2029.1238422863191,Nari Ghadiali,Navin Yagnik,Raj Rani,Samson,6.2,6.2,6.0,6.2,5.5
10848,Picnic,1966.0,138.0,Drama,6.2,11.0,Shaheed Latif,Manoj Kumar,Azra,Shubha Khote,5.9,6.4,5.8,6.7,6.3
10851,Pied Piper,2013.0,113.0,"Comedy, Drama",6.3,23.0,Vivek Budakoti,Vikram Kochhar,Meher Vij,Rajpal Yadav,6.3,7.0,5.8,6.3,5.9
10852,Pighalta Aasman,1985.0,155.0,"Comedy, Drama, Romance",6.1,31.0,Shammi,Esmayeel Shroff,Shashi Kapoor,Rakhee Gulzar,6.1,6.7,6.7,6.1,5.8
10853,Pihu,2016.0,91.0,"Drama, Thriller",6.7,2205.0,Kapri Vinod,Rahul Bagga,Pihu Myra Vishwakarma,Prerna Vishwakarma,5.2,6.7,6.7,6.1,6.0
10854,Piku,2015.0,123.0,"Comedy, Drama",7.6,29786.0,Shoojit Sircar,Deepika Padukone,Amitabh Bachchan,Irrfan Khan,6.1,6.4,6.3,7.5,5.9
10855,Pilpili Saheb,1954.0,131.11078355314197,Comedy,6.2,2029.1238422863191,H.S. Kavatra,Pran,Shyama,Agha,6.0,6.1,6.6,6.2,5.9
10857,Pinjar,2003.0,188.0,Drama,8.0,2633.0,Chandra Prakash Dwivedi,Urmila Matondkar,Manoj Bajpayee,Sanjay Suri,6.0,5.9,5.4,6.8,6.3
10858,Pinjra,1972.0,175.0,Drama,7.9,232.0,Shantaram Rajaram Vankudre,Krishnakant Dalvi,Vatsala Deshmukh,Babasaheb Gawde,7.9,7.4,7.9,6.4,6.3
10859,Pinjre Ke Panchhi,1966.0,131.11078355314197,"Crime, Drama",5.8,13.0,Salil Choudhury,Balraj Sahni,Meena Kumari,Mehmood,6.8,6.5,6.2,5.8,6.2
10860,Pink,2016.0,136.0,"Crime, Drama, Thriller",8.1,40953.0,Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,6.5,6.4,6.1,7.4,6.1
10861,Pinky Beauty Parlour,2016.0,130.0,Drama,8.4,33.0,Akshay Singh,Sulagna Panigrahi,Vishwanath Chatterjee,Jogi Mallang,8.4,8.4,8.4,8.4,6.3
10862,Pinti Ka Sabun,2017.0,85.0,Drama,8.7,6.0,Pramod Pathak,Diamond Akhtar,Sukriti Chamoli,Satish Dhaulakhandi,8.7,8.7,8.7,8.7,6.3
10863,Pippa,2021.0,131.11078355314197,War,6.2,2029.1238422863191,Raja Menon,Mrunal Thakur,Ishaan Khattar,Priyanshu Painyuli,6.2,5.4,6.3,6.5,4.8
10864,Pirates 1.0,2017.0,120.0,Thriller,5.9,16.0,Raj Madiraju,Abhishek Gupta,Abhishek Maharshi,Zara Shah,5.9,5.9,5.9,5.9,5.9
